bank,rank,keyword,tfidf
BOA,1,work,0.5204
BOA,2,bad,0.2878
BOA,3,update,0.2405
BOA,4,developer,0.205
BOA,5,fix,0.1971
BOA,6,crash,0.1971
BOA,7,developer option,0.1726
BOA,8,option,0.1617
BOA,9,money,0.1459
BOA,10,application,0.138
BOA,11,open,0.1222
BOA,12,slow,0.1143
BOA,13,service,0.1104
BOA,14,transaction,0.1104
BOA,15,try,0.1065
BOA,16,transfer,0.0946
BOA,17,phone,0.0907
BOA,18,problem,0.0867
BOA,19,experience,0.0828
BOA,20,bug,0.0828
CBE,1,update,0.4431
CBE,2,work,0.3426
CBE,3,application,0.2776
CBE,4,service,0.189
CBE,5,easy,0.1713
CBE,6,transaction,0.1654
CBE,7,transfer,0.1536
CBE,8,account,0.1359
CBE,9,number,0.1241
CBE,10,bad,0.1122
CBE,11,pin,0.1063
CBE,12,customer,0.1063
CBE,13,problem,0.1004
CBE,14,feature,0.1004
CBE,15,branch,0.1004
CBE,16,money,0.1004
CBE,17,fix,0.1004
CBE,18,keyboard,0.1
CBE,19,user,0.0945
CBE,20,ethiopia,0.0945
Dashen,1,super,0.3463
Dashen,2,easy,0.2535
Dashen,3,fast,0.2499
Dashen,4,work,0.2428
Dashen,5,feature,0.2142
Dashen,6,user,0.2071
Dashen,7,transaction,0.1785
Dashen,8,friendly,0.1428
Dashen,9,service,0.1357
Dashen,10,step,0.1321
Dashen,11,experience,0.1285
Dashen,12,application,0.125
Dashen,13,user friendly,0.1178
Dashen,14,amazing,0.1178
Dashen,15,account,0.1143
Dashen,16,digital,0.1
Dashen,17,amole,0.0967
Dashen,18,step ahead,0.0965
Dashen,19,update,0.0964
Dashen,20,transfer,0.0928
